country_or_region;date;variable;generation_twh
Germany;2018-06-01;Wind;5.89
Germany;2018-06-01;Wind and solar;11.51
Germany;2018-07-01;Bioenergy;3.83
Germany;2018-07-01;Clean;22.48
Germany;2018-07-01;Coal;18.36
Germany;2018-07-01;Fossil;25.98
Germany;2018-07-01;Gas;5.86
Germany;2018-07-01;Hydro;1.32
Germany;2018-07-01;Nuclear;6.25
Germany;2018-07-01;Other Fossil;1.76
Germany;2018-07-01;Solar;6.5
Germany;2018-07-01;Wind;4.58
Germany;2018-07-01;Wind and solar;11.08
Germany;2018-08-01;Bioenergy;3.85
Germany;2018-08-01;Clean;23.31
Germany;2018-08-01;Coal;17.52
Germany;2018-08-01;Fossil;24.75
Germany;2018-08-01;Gas;5.47
Germany;2018-08-01;Hydro;1.05
Germany;2018-08-01;Nuclear;6.65
Germany;2018-08-01;Other Fossil;1.76
Germany;2018-08-01;Solar;5.46
Germany;2018-08-01;Wind;6.3
Germany;2018-08-01;Wind and solar;11.76
Germany;2018-09-01;Bioenergy;3.72
Germany;2018-09-01;Clean;22.92
Germany;2018-09-01;Coal;16.99
Germany;2018-09-01;Fossil;23.65
Germany;2018-09-01;Gas;5.06
Germany;2018-09-01;Hydro;1.1
Germany;2018-09-01;Nuclear;5.62
Germany;2018-09-01;Other Fossil;1.6
Germany;2018-09-01;Solar;4.29
Germany;2018-09-01;Wind;8.19
Germany;2018-09-01;Wind and solar;12.48
Germany;2018-10-01;Bioenergy;3.98
Germany;2018-10-01;Clean;24.59
Germany;2018-10-01;Coal;18.06
Germany;2018-10-01;Fossil;26.43
Germany;2018-10-01;Gas;6.67
Germany;2018-10-01;Hydro;0.92
Germany;2018-10-01;Nuclear;5.77
Germany;2018-10-01;Other Fossil;1.7
Germany;2018-10-01;Solar;2.9
Germany;2018-10-01;Wind;11.02
Germany;2018-10-01;Wind and solar;13.92
Germany;2018-11-01;Bioenergy;3.9
Germany;2018-11-01;Clean;22.61
Germany;2018-11-01;Coal;19.05
Germany;2018-11-01;Fossil;29.52
Germany;2018-11-01;Gas;8.8
Germany;2018-11-01;Hydro;0.8
Germany;2018-11-01;Nuclear;6.47
Germany;2018-11-01;Other Fossil;1.67
Germany;2018-11-01;Solar;1.23
Germany;2018-11-01;Wind;10.21
Germany;2018-11-01;Wind and solar;11.44
Germany;2018-12-01;Bioenergy;4.14
Germany;2018-12-01;Clean;27.8
Germany;2018-12-01;Coal;15.43
Germany;2018-12-01;Fossil;25.1
Germany;2018-12-01;Gas;8.05
Germany;2018-12-01;Hydro;1.49
Germany;2018-12-01;Nuclear;6.8
Germany;2018-12-01;Other Fossil;1.62
Germany;2018-12-01;Solar;0.55
Germany;2018-12-01;Wind;14.82
Germany;2018-12-01;Wind and solar;15.37
Germany;2019-01-01;Bioenergy;3.73
Germany;2019-01-01;Clean;27.61
Germany;2019-01-01;Coal;18.21
Germany;2019-01-01;Fossil;29.35
Germany;2019-01-01;Gas;8.93
Germany;2019-01-01;Hydro;1.63
Germany;2019-01-01;Nuclear;6.81
Germany;2019-01-01;Other Fossil;2.21
Germany;2019-01-01;Solar;0.79
Germany;2019-01-01;Wind;14.65
Germany;2019-01-01;Wind and solar;15.44
Germany;2019-02-01;Bioenergy;3.38
Germany;2019-02-01;Clean;24.1
Germany;2019-02-01;Coal;16.11
Germany;2019-02-01;Fossil;25.22
Germany;2019-02-01;Gas;6.96
Germany;2019-02-01;Hydro;1.45
Germany;2019-02-01;Nuclear;6.19
Germany;2019-02-01;Other Fossil;2.15
Germany;2019-02-01;Solar;2.32
Germany;2019-02-01;Wind;10.76
Germany;2019-02-01;Wind and solar;13.08
Germany;2019-03-01;Bioenergy;3.66
Germany;2019-03-01;Clean;31.8
Germany;2019-03-01;Coal;12.12
Germany;2019-03-01;Fossil;20.07
Germany;2019-03-01;Gas;5.68
Germany;2019-03-01;Hydro;2.07
Germany;2019-03-01;Nuclear;6.7
Germany;2019-03-01;Other Fossil;2.27
Germany;2019-03-01;Solar;3.23
Germany;2019-03-01;Wind;16.14
Germany;2019-03-01;Wind and solar;19.37
Germany;2019-04-01;Bioenergy;3.45
Germany;2019-04-01;Clean;25.23
Germany;2019-04-01;Coal;13.24
Germany;2019-04-01;Fossil;21.09
Germany;2019-04-01;Gas;5.67
Germany;2019-04-01;Hydro;1.71
Germany;2019-04-01;Nuclear;5.69
Germany;2019-04-01;Other Fossil;2.18
Germany;2019-04-01;Solar;5.41
Germany;2019-04-01;Wind;8.97
Germany;2019-04-01;Wind and solar;14.38
Germany;2019-05-01;Bioenergy;3.56
Germany;2019-05-01;Clean;23.6
Germany;2019-05-01;Coal;12.75
Germany;2019-05-01;Fossil;20.25
Germany;2019-05-01;Gas;5.24
Germany;2019-05-01;Hydro;1.91
Germany;2019-05-01;Nuclear;4.62
Germany;2019-05-01;Other Fossil;2.26
Germany;2019-05-01;Solar;5.31
Germany;2019-05-01;Wind;8.2
Germany;2019-05-01;Wind and solar;13.51
Germany;2019-06-01;Bioenergy;3.36
Germany;2019-06-01;Clean;23.2
Germany;2019-06-01;Coal;10
Germany;2019-06-01;Fossil;17.62
Germany;2019-06-01;Gas;5.73
Germany;2019-06-01;Hydro;1.91
Germany;2019-06-01;Nuclear;4.57
Germany;2019-06-01;Other Fossil;1.89
Germany;2019-06-01;Solar;6.83
Germany;2019-06-01;Wind;6.53
Germany;2019-06-01;Wind and solar;13.36
Germany;2019-07-01;Bioenergy;3.4
Germany;2019-07-01;Clean;23.11
Germany;2019-07-01;Coal;11.76
Germany;2019-07-01;Fossil;21.27
Germany;2019-07-01;Gas;7.49
Germany;2019-07-01;Hydro;1.63
Germany;2019-07-01;Nuclear;5.44
Germany;2019-07-01;Other Fossil;2.02
Germany;2019-07-01;Solar;6.07
Germany;2019-07-01;Wind;6.57
Germany;2019-07-01;Wind and solar;12.64
Germany;2019-08-01;Bioenergy;3.37
Germany;2019-08-01;Clean;21.97
Germany;2019-08-01;Coal;11.15
Germany;2019-08-01;Fossil;20.67
Germany;2019-08-01;Gas;7.41
Germany;2019-08-01;Hydro;1.73
Germany;2019-08-01;Nuclear;5.47
Germany;2019-08-01;Other Fossil;2.11
Germany;2019-08-01;Solar;5.58
Germany;2019-08-01;Wind;5.82
Germany;2019-08-01;Wind and solar;11.4
Germany;2019-09-01;Bioenergy;3.32
Germany;2019-09-01;Clean;23.77
Germany;2019-09-01;Coal;10.64
Germany;2019-09-01;Fossil;20.37
Germany;2019-09-01;Gas;7.57
